3, 4, 6, 5;0;0.188897
4;1;0.630601
4;2;0.825015
6, 4, 5;3;0.405766
3, 2, 5, 1;4;0.974963
3, 0, 4, 6;5;0.220375
3, 0, 35, 34, 5;6;0.521164
10, 35, 11, 33, 9, 6, 8;7;0.261518
34, 7;8;0.699712
34, 10, 11;9;0.835249
34, 9, 11;10;0.374891
34, 9, 10;11;0.837822
35, 31, 33, 36;13;0.017712
35, 33, 36;14;0.622409
29, 24, 32, 17, 31;15;0.536841
19, 29, 20, 25, 24, 17;16;0.204564
24, 30, 31;17;0.827201
19, 20, 24, 32, 17, 30;18;0.199333
20, 32, 18, 23, 31;19;0.680821
31, 30, 23, 19;20;0.613503
24, 20, 22, 19;21;0.046348
24, 20, 21, 19;22;0.056574
19, 20, 16, 17, 30, 31;23;0.226611
19, 16, 17, 30, 23, 31;24;0.488673
24, 29, 16;25;0.323706
28, 29;26;0.285737
28;27;0.378354
26, 29, 27;28;0.659265
26, 30, 28, 25;29;0.821349
17, 24, 15, 32;30;0.869284
24, 30, 19, 32;31;0.995812
31, 30, 15;32;0.763652
34, 14, 31;33;0.289402
10, 7, 11, 9, 8;34;0.678604
6, 34, 14, 36;35;0.868146
35, 14;36;0.735618
