FFLVFAILURE;HISTORY
TPR,CO;BP
STROKEVOLUME;CO
CATECHOL;HR
TPR,SAO2,INSUFFANESTH,ARTCO2;CATECHOL
VENTLUNG,INTUBATION;VENTALV
LVEDVOLUME ; CVP
LVEDVOLUME ; PCWP
HYPOVOLEMIA, LVFAILURE;LVEDVOLUME
LVFAILURE, HYPOVOLEMIA ; STROKEVOLUME
ERRLOWOUTPUT, HR; HRBP
HR, ERRCAUTER; HREKG
ERRCAUTER,HR ; HRSAT
VENTLUNG, ARTCO2 ; EXPCO2
VENTLUNG, INTUBATION ; MINVOL
FIO2, VENTALV ; PVSAT
SHUNT, PVSAT; SAO2
PULMEMBOLUS ; PAP
PULMEMBOLUS, INTUBATION; SHUNT
VENTTUBE, KINKEDTUBE,INTUBATION; PRESS
MINVOLSET ; VENTMACH
DISCONNECT, VENTMACH; VENTTUBE
INTUBATION,VENTTUBE,KINKEDTUBE ; VENTLUNG
VENTALV ; ARTCO2
